ID	FATHER	MOTHER	BirthYear	Sex
1	NA	NA	NA	F
2	NA	NA	NA	F
3	NA	NA	NA	F
4	NA	NA	NA	F
5	NA	NA	NA	F
6	NA	NA	NA	F
7	NA	NA	NA	F
8	NA	NA	NA	F
9	NA	NA	NA	F
10	NA	NA	NA	F
11	NA	NA	NA	F
12	NA	NA	NA	F
13	NA	NA	NA	F
14	NA	NA	NA	F
15	NA	NA	NA	F
16	NA	NA	NA	F
17	NA	NA	NA	F
18	NA	NA	NA	F
19	NA	NA	NA	F
20	NA	NA	NA	F
21	NA	NA	NA	F
22	NA	NA	NA	M
23	NA	NA	NA	M
24	NA	NA	NA	F
25	NA	NA	NA	F
26	NA	NA	NA	F
27	NA	NA	NA	F
28	NA	NA	NA	F
29	NA	NA	NA	F
30	NA	NA	NA	F
31	NA	NA	NA	M
32	NA	NA	NA	F
33	NA	NA	NA	F
34	NA	NA	NA	M
35	NA	NA	NA	F
36	NA	NA	NA	F
37	NA	NA	NA	F
38	NA	NA	NA	F
39	NA	NA	NA	F
40	NA	NA	NA	F
41	NA	NA	NA	M
42	NA	NA	NA	F
43	NA	NA	NA	M
44	NA	NA	NA	M
45	NA	NA	NA	M
46	NA	NA	NA	F
47	NA	NA	NA	F
48	NA	NA	NA	F
49	NA	NA	NA	F
50	NA	NA	NA	F
51	NA	NA	NA	F
52	NA	NA	NA	F
53	NA	NA	NA	F
54	NA	NA	NA	F
55	NA	NA	NA	F
56	NA	NA	NA	F
57	NA	NA	NA	F
58	NA	NA	NA	F
59	NA	NA	NA	F
60	NA	NA	NA	F
61	NA	NA	NA	F
62	NA	NA	NA	F
63	NA	NA	NA	F
64	NA	NA	NA	F
65	NA	NA	NA	F
66	NA	NA	NA	F
67	NA	NA	NA	F
68	NA	NA	NA	M
69	NA	NA	1975	F
70	NA	NA	1976	F
71	NA	NA	1976	F
72	NA	NA	1977	F
73	NA	NA	1977	F
74	NA	NA	1977	F
75	NA	NA	1977	F
76	NA	NA	1977	F
